Movie ID,Genre ID
1241982,12
1241982,16
1241982,35
1241982,10751
1241982,14
614945,10749
614945,35
614945,18
1325734,10749
1325734,35
1325734,18
1510795,27
1233413,27
1233413,28
1233413,53
240,18
240,80
13,35
13,18
13,10749
361743,28
361743,18
986056,28
986056,878
986056,12
687259,27
350,18
350,35
99861,28
99861,12
99861,878
1272837,27
1272837,53
1272837,878
497,14
497,18
497,80
5721,18
438631,878
438631,12
911430,28
911430,18
432279,10749
432279,18
1380291,28
1380291,53
1408170,28
1408170,18
1408170,10749
933260,27
933260,878
933260,53
1242898,28
1242898,878
1242898,12
12445,12
12445,14
194117,18
194117,10749
194117,80
1198994,27
1198994,53
1198994,35
76600,28
76600,12
76600,878
1175942,10751
1175942,35
1175942,80
1175942,12
1175942,16
129,16
129,10751
129,14
11770,28
11770,35
1087192,14
1087192,10751
1087192,28
1087192,12
694,27
694,53
1171145,80
1171145,53
572802,28
572802,12
572802,14
453395,14
453395,28
453395,12
674,12
674,14
950028,18
950028,35
950028,10749
952079,10749
64439,18
12444,12
12444,14
177572,12
177572,10751
177572,16
177572,28
177572,35
240,18
240,80
1227241,28
1227241,53
1227241,18
1341041,27
572802,28
572802,12
572802,14
950387,10751
950387,14
950387,35
950387,12
1288341,28
1288341,53
414906,80
414906,9648
414906,53
807,80
807,9648
807,53
1367220,28
1367220,14
12444,12
12444,14
354912,10751
354912,16
354912,10402
354912,12
1124,18
1124,9648
1124,878
694,27
694,53
77429,35
8587,16
8587,10751
8587,18
952079,10749
672,12
672,14
424,18
424,36
424,10752
177572,12
177572,10751
177572,16
177572,28
177572,35
122917,28
122917,12
122917,14
